Country Name,Country Code,2013POP
Aruba,ABW,102880
Africa Eastern and Southern,AFE,567892149
Afghanistan,AFG,31541209
Africa Western and Central,AFW,387204553
Angola,AGO,26147002
Albania,ALB,2895092
Andorra,AND,71367
Arab World,ARB,389131555
United Arab Emirates,ARE,8751847
Argentina,ARG,42202935
Armenia,ARM,2901385
American Samoa,ASM,52995
Antigua and Barbuda,ATG,88497
Australia,AUS,23128129
Austria,AUT,8479823
Azerbaijan,AZE,9416801
Burundi,BDI,10149577
Belgium,BEL,11159407
Benin,BEN,10308730
Burkina Faso,BFA,17636408
Bangladesh,BGD,154030139
Bulgaria,BGR,7265115
Bahrain,BHR,1261673
"Bahamas, The",BHS,385650
Bosnia and Herzegovina,BIH,3617559
Belarus,BLR,9443211
Belize,BLZ,344688
Bermuda,BMU,65001
Bolivia,BOL,10743349
Brazil,BRA,201721767
Barbados,BRB,276865
Brunei Darussalam,BRN,411702
Bhutan,BTN,728889
Botswana,BWA,2217278
Central African Republic,CAF,4802428
Canada,CAN,35082954
Central Europe and the Baltics,CEB,103713726
Switzerland,CHE,8089346
Channel Islands,CHI,159794
Chile,CHL,17509925
China,CHN,1363240000
Cote d'Ivoire,CIV,22469268
Cameroon,CMR,21632850
"Congo, Dem. Rep.",COD,73460021
"Congo, Rep.",COG,4828066
Colombia,COL,46237930
Comoros,COM,699393
Cabo Verde,CPV,539940
Costa Rica,CRI,4791535
Caribbean small states,CSS,7135884
Cuba,CUB,11321579
Curacao,CUW,153822
Cayman Islands,CYM,58212
Cyprus,CYP,1166968
Czechia,CZE,10514272
Germany,DEU,80645605
Djibouti,DJI,971753
Dominica,DMA,68819
Denmark,DNK,5614932
Dominican Republic,DOM,10157051
Algeria,DZA,38000626
East Asia & Pacific (excluding high income),EAP,2018068461
Early-demographic dividend,EAR,3078835706
East Asia & Pacific,EAS,2261274500
Europe & Central Asia (excluding high income),ECA,386051693
Europe & Central Asia,ECS,899035925
Ecuador,ECU,15722989
"Egypt, Arab Rep.",EGY,93377890
Euro area,EMU,337328817
Eritrea,ERI,3296367
Spain,ESP,46620045
Estonia,EST,1317997
Ethiopia,ETH,97084366
European Union,EUU,442496175
Fragile and conflict affected situations,FCS,837410155
Finland,FIN,5438972
Fiji,FJI,913453
France,FRA,66002289
Faroe Islands,FRO,48418
"Micronesia, Fed. Sts.",FSM,108609
Gabon,GAB,1902226
United Kingdom,GBR,64128273
Georgia,GEO,3717668
Ghana,GHA,27525597
Gibraltar,GIB,32411
Guinea,GIN,11055430
"Gambia, The",GMB,2124869
Guinea-Bissau,GNB,1697753
Equatorial Guinea,GNQ,1243941
Greece,GRC,10965211
Grenada,GRD,116945
Greenland,GRL,56483
Guatemala,GTM,15043981
Guam,GUM,167054
Guyana,GUY,747420
High income,HIC,1198818424
"Hong Kong SAR, China",HKG,7178900
Honduras,HND,8960657
Heavily indebted poor countries (HIPC),HPC,686620331
Croatia,HRV,4255689
Haiti,HTI,10261206
Hungary,HUN,9893082
IBRD only,IBD,4568406106
IDA & IBRD total,IBT,6079930346
IDA total,IDA,1511524240
IDA blend,IDB,506443358
Indonesia,IDN,253275918
IDA only,IDX,1005080882
Isle of Man,IMN,84144
India,IND,1291132063
Not classified,INX,
Ireland,IRL,4623816
"Iran, Islamic Rep.",IRN,78458928
Iraq,IRQ,35481800
Iceland,ISL,323764
Israel,ISR,8059500
Italy,ITA,60233948
Jamaica,JAM,2773129
Jordan,JOR,7694814
Japan,JPN,127445000
Kazakhstan,KAZ,17035551
Kenya,KEN,44792368
Kyrgyz Republic,KGZ,5719600
Cambodia,KHM,14999683
Kiribati,KIR,113311
St. Kitts and Nevis,KNA,47767
"Korea, Rep.",KOR,50428893
Kuwait,KWT,3646518
Latin America & Caribbean (excluding high income),LAC,546954103
Lao PDR,LAO,6600742
Lebanon,LBN,5678851
Liberia,LBR,4427313
Libya,LBY,5985221
St. Lucia,LCA,173978
Latin America & Caribbean,LCN,608642242
Least developed countries: UN classification,LDC,907133963
Low income,LIC,553835758
Liechtenstein,LIE,36806
Sri Lanka,LKA,21131756
Lower middle income,LMC,2813932332
Low & middle income,LMY,6001075136
Lesotho,LSO,2073939
Late-demographic dividend,LTE,2228485037
Lithuania,LTU,2957689
Luxembourg,LUX,543360
Latvia,LVA,2012647
"Macao SAR, China",MAC,593374
St. Martin (French part),MAF,35639
Morocco,MAR,33803527
Monaco,MCO,35425
Moldova,MDA,2859558
Madagascar,MDG,23588073
Maldives,MDV,400728
Middle East & North Africa,MEA,422790409
Mexico,MEX,117290686
Marshall Islands,MHL,51352
Middle income,MIC,5447239378
North Macedonia,MKD,2064032
Mali,MLI,17004033
Malta,MLT,425967
Myanmar,MMR,50648334
Middle East & North Africa (excluding high income),MNA,363310225
Montenegro,MNE,621207
Mongolia,MNG,2845153
Northern Mariana Islands,MNP,52141
Mozambique,MOZ,25251731
Mauritania,MRT,3742959
Mauritius,MUS,1258927
Malawi,MWI,16024775
Malaysia,MYS,30134807
North America,NAC,351207902
Namibia,NAM,2204510
New Caledonia,NCL,263650
Niger,NER,18653199
Nigeria,NGA,174726123
Nicaragua,NIC,6119379
Netherlands,NLD,16804432
Norway,NOR,5079623
Nepal,NPL,27381555
Nauru,NRU,10694
New Zealand,NZL,4442100
OECD members,OED,1314072465
Oman,OMN,3816680
Other small states,OSS,28225790
Pakistan,PAK,205337562
Panama,PAN,3821556
Peru,PER,30038809
Philippines,PHL,99700107
Palau,PLW,17805
Papua New Guinea,PNG,8245627
Poland,POL,38040196
Pre-demographic dividend,PRE,808542070
Puerto Rico,PRI,3593077
"Korea, Dem. People's Rep.",PRK,25001819
Portugal,PRT,10457295
Paraguay,PRY,6005652
West Bank and Gaza,PSE,4076708
Pacific island small states,PSS,2379069
Post-demographic dividend,PST,1087230525
French Polynesia,PYF,288032
Qatar,QAT,2035501
Romania,ROU,19983693
Russian Federation,RUS,143506995
Rwanda,RWA,11101350
South Asia,SAS,1731683901
Saudi Arabia,SAU,31482498
Sudan,SDN,35990704
Senegal,SEN,13595566
Singapore,SGP,5399162
Solomon Islands,SLB,582365
Sierra Leone,SLE,6964859
El Salvador,SLV,6185642
San Marino,SMR,33285
Somalia,SOM,12852485
Serbia,SRB,7164132
Sub-Saharan Africa (excluding high income),SSA,955006753
South Sudan,SSD,11106031
Sub-Saharan Africa,SSF,955096702
Small states,SST,37740743
Sao Tome and Principe,STP,193757
Suriname,SUR,563947
Slovak Republic,SVK,5413393
Slovenia,SVN,2059953
Sweden,SWE,9600379
Eswatini,SWZ,1118319
Sint Maarten (Dutch part),SXM,36607
Seychelles,SYC,89949
Syrian Arab Republic,SYR,21495821
Turks and Caicos Islands,TCA,33594
Chad,TCD,13216766
East Asia & Pacific (IDA & IBRD countries),TEA,1993077336
Europe & Central Asia (IDA & IBRD countries),TEC,448331271
Togo,TGO,7106229
Thailand,THA,69578602
Tajikistan,TJK,8136610
Turkmenistan,TKM,5560095
Latin America & the Caribbean (IDA & IBRD countries),TLA,592507619
Timor-Leste,TLS,1161555
Middle East & North Africa (IDA & IBRD countries),TMN,359233517
Tonga,TON,107089
South Asia (IDA & IBRD),TSA,1731683901
Sub-Saharan Africa (IDA & IBRD countries),TSS,955096702
Trinidad and Tobago,TTO,1440729
Tunisia,TUN,11300284
Turkiye,TUR,76576117
Tuvalu,TUV,10918
Tanzania,TZA,49253643
Uganda,UGA,35273570
Ukraine,UKR,45489648
Upper middle income,UMC,2633307046
Uruguay,URY,3381180
United States,USA,316059947
Uzbekistan,UZB,30243200
St. Vincent and the Grenadines,VCT,107450
"Venezuela, RB",VEN,29838021
British Virgin Islands,VGB,28657
Virgin Islands (U.S.),VIR,108041
Viet Nam,VNM,90267739
Vanuatu,VUT,263534
World,WLD,7229731581
Samoa,WSM,199939
Kosovo,XKX,1818117
"Yemen, Rep.",YEM,26984002
South Africa,ZAF,53873616
Zambia,ZMB,15234976
Zimbabwe,ZWE,13555422
